action,bucket,session_id,report_date,facility_name,district_name,disease_name,patient_count
"created","average_range","54","2025-11-22","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-23","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-24","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-25","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-26","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-27","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-28","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-29","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-30","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-20","รพ.มะนัง","มะนัง","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-21","รพ.มะนัง","มะนัง","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-22","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-23","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-24","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-25","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-26","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-27","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-28","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-29","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-30","รพ.มะนัง","มะนัง","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","บาดแผล","1"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","บาดแผล","1"
"created","average_range","54","2025-11-22","รพ.สตูล","เมืองสตูล","บาดแผล","1"
